,combo-id,inst-id,file-name,stripe-thresh-cov-zero
200,2,2-1,2\2-1.png,62.0
201,2,2-2,2\2-2.png,524.0
202,2,2-3,2\2-3.png,323.0
203,2,2-4,2\2-4.png,115.0
204,2,2-5,2\2-5.png,79.0
205,2,2-6,2\2-6.png,131.0
206,2,2-7,2\2-7.png,200.0
207,2,2-8,2\2-8.png,219.0
208,2,2-9,2\2-9.png,150.0
209,2,2-10,2\2-10.png,2.0
210,2,2-11,2\2-11.png,11.0
211,2,2-12,2\2-12.png,65.0
212,2,2-13,2\2-13.png,54.0
213,2,2-14,2\2-14.png,94.0
214,2,2-15,2\2-15.png,29.0
215,2,2-16,2\2-16.png,66.0
216,2,2-17,2\2-17.png,0.0
217,2,2-18,2\2-18.png,40.0
218,2,2-19,2\2-19.png,212.0
219,2,2-20,2\2-20.png,7.0
220,2,2-21,2\2-21.png,26.0
221,2,2-22,2\2-22.png,60.0
222,2,2-23,2\2-23.png,508.0
223,2,2-24,2\2-24.png,17.0
224,2,2-25,2\2-25.png,174.0
225,2,2-26,2\2-26.png,595.0
226,2,2-27,2\2-27.png,99.0
227,2,2-28,2\2-28.png,48.0
228,2,2-29,2\2-29.png,215.0
229,2,2-30,2\2-30.png,246.0
230,2,2-31,2\2-31.png,6.0
231,2,2-32,2\2-32.png,628.0
232,2,2-33,2\2-33.png,10.0
233,2,2-34,2\2-34.png,109.0
234,2,2-35,2\2-35.png,333.0
235,2,2-36,2\2-36.png,204.0
236,2,2-37,2\2-37.png,9.0
237,2,2-38,2\2-38.png,90.0
238,2,2-39,2\2-39.png,1774.0
239,2,2-40,2\2-40.png,18.0
240,2,2-41,2\2-41.png,0.0
241,2,2-42,2\2-42.png,72.0
242,2,2-43,2\2-43.png,762.0
243,2,2-44,2\2-44.png,208.0
244,2,2-45,2\2-45.png,462.0
245,2,2-46,2\2-46.png,17.0
246,2,2-47,2\2-47.png,21.0
247,2,2-48,2\2-48.png,150.0
248,2,2-49,2\2-49.png,956.0
249,2,2-50,2\2-50.png,51.0
250,2,2-51,2\2-51.png,147.0
251,2,2-52,2\2-52.png,443.0
252,2,2-53,2\2-53.png,7.0
253,2,2-54,2\2-54.png,1124.0
254,2,2-55,2\2-55.png,9.0
255,2,2-56,2\2-56.png,173.0
256,2,2-57,2\2-57.png,1466.0
257,2,2-58,2\2-58.png,131.0
258,2,2-59,2\2-59.png,154.0
259,2,2-60,2\2-60.png,253.0
260,2,2-61,2\2-61.png,751.0
261,2,2-62,2\2-62.png,72.0
262,2,2-63,2\2-63.png,200.0
263,2,2-64,2\2-64.png,85.0
264,2,2-65,2\2-65.png,113.0
265,2,2-66,2\2-66.png,17.0
266,2,2-67,2\2-67.png,80.0
267,2,2-68,2\2-68.png,231.0
268,2,2-69,2\2-69.png,1.0
269,2,2-70,2\2-70.png,33.0
270,2,2-71,2\2-71.png,153.0
271,2,2-72,2\2-72.png,84.0
272,2,2-73,2\2-73.png,216.0
273,2,2-74,2\2-74.png,29.0
274,2,2-75,2\2-75.png,296.0
275,2,2-76,2\2-76.png,265.0
276,2,2-77,2\2-77.png,0.0
277,2,2-78,2\2-78.png,138.0
278,2,2-79,2\2-79.png,566.0
279,2,2-80,2\2-80.png,85.0
280,2,2-81,2\2-81.png,146.0
281,2,2-82,2\2-82.png,55.0
282,2,2-83,2\2-83.png,31.0
283,2,2-84,2\2-84.png,1285.0
284,2,2-85,2\2-85.png,49.0
285,2,2-86,2\2-86.png,16.0
286,2,2-87,2\2-87.png,269.0
287,2,2-88,2\2-88.png,149.0
288,2,2-89,2\2-89.png,88.0
289,2,2-90,2\2-90.png,3.0
290,2,2-91,2\2-91.png,34.0
291,2,2-92,2\2-92.png,63.0
292,2,2-93,2\2-93.png,143.0
293,2,2-94,2\2-94.png,153.0
294,2,2-95,2\2-95.png,558.0
295,2,2-96,2\2-96.png,153.0
296,2,2-97,2\2-97.png,0.0
297,2,2-98,2\2-98.png,541.0
298,2,2-99,2\2-99.png,105.0
299,2,2-100,2\2-100.png,105.0
500,5,5-1,5\5-1.png,255.0
501,5,5-2,5\5-2.png,234.0
502,5,5-3,5\5-3.png,97.0
503,5,5-4,5\5-4.png,987.0
504,5,5-5,5\5-5.png,102.0
505,5,5-6,5\5-6.png,117.0
506,5,5-7,5\5-7.png,40.0
507,5,5-8,5\5-8.png,53.0
508,5,5-9,5\5-9.png,935.0
509,5,5-10,5\5-10.png,222.0
510,5,5-11,5\5-11.png,26.0
511,5,5-12,5\5-12.png,40.0
