,combo-id,inst-id,file-name,stripe-thresh-cov-zero
200,2,2-1,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-1.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-1.png']",62.0
201,2,2-2,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-2.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-2.png']",524.0
202,2,2-3,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-3.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-3.png']",323.0
203,2,2-4,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-4.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-4.png']",115.0
204,2,2-5,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-5.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-5.png']",79.0
205,2,2-6,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-6.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-6.png']",131.0
206,2,2-7,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-7.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-7.png']",200.0
207,2,2-8,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-8.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-8.png']",219.0
208,2,2-9,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-9.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-9.png']",150.0
209,2,2-10,"['../homogeneous-eight-cell-twentynine-april-exported-extra-smooth-images/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-bigborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-medborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-highdif-smallborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-bigborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-medborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-lowdiff-smallborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-bigborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-medborder/2/2-10.png', '../homogeneous-eight-cell-twentynine-april-exported-images-meddiff-smallborder/2/2-10.png']",2.0
